id	name	description
0	ライトノベル	主に10〜20代男性向けである。アニメや漫画など非現実的な設定が多い。読者は主人公になりきり無双やハーレムを仮想体験し手軽に現実逃避やウサ晴らしするために読む。異世界ものが主流であり剣と魔法や異能バトル描写が多い。文体はきわめて平易である。小学生や中学生でも読めるよう簡単な表現や文字を用いるため、オノマトペの多様など幼稚な表現が多い。
1	ライト文芸	主に20〜30代の学生や社会人向けである。一般文芸のように物語の主題は描きつつ、文体はライトで読みやすいもの。
2	キャラ文芸	一般文芸とは異なり、ラノベのような個性的なキャラクタが登場し、少し不思議な舞台で物語が展開される。
3	一般文芸	大衆文学。純文学に対して芸術性よりも娯楽性に重きを置いたもの。
4	純文学	読者の娯楽的興味に媚びず、作者の芸術意識によって書かれたもの。
5	会話・チャット・掲示板・戯曲・脚本・台本・茶番劇	会話の連なり。演劇を上演するために執筆された脚本や作品。
6	詩・俳句・川柳・短歌	韻文。定型に縛られないものも含む。
7	エッセイ・ノンフィクション
8	創作論
10	散文
11	名言
12	駄洒落
13	大喜利
14	なぞなぞ
15	クイズ


0	ライトノベル	主に10〜20代男性向けである。アニメや漫画など非現実的な設定が多い。読者は主人公になりきり無双やハーレムを仮想体験し手軽に現実逃避やウサ晴らしするために読む。異世界ものが主流であり剣と魔法や異能バトル描写が多い。文体はきわめて平易である。小学生や中学生でも読めるよう簡単な表現や文字を用いるため、オノマトペの多様など幼稚な表現が多い。
1	ライト文芸	主に20〜30代の学生や社会人向けである。一般文芸のように物語の主題は描きつつ、文体はライトで読みやすいもの。
2	キャラ文芸	一般文芸とは異なり、ラノベのような個性的なキャラクタが登場し、少し不思議な舞台で物語が展開される。
3	一般文芸	大衆文学。純文学に対して芸術性よりも娯楽性に重きを置いたもの。
4	純文学	読者の娯楽的興味に媚びず、作者の芸術意識によって書かれたもの。
5	会話・チャット・掲示板・戯曲・脚本・台本・茶番劇	会話の連なり。演劇を上演するために執筆された脚本や作品。
6	詩・俳句・川柳・短歌	韻文。定型に縛られないものも含む。
7	エッセイ・ノンフィクション
8	創作論
10	散文
11	名言
12	駄洒落
13	大喜利
14	なぞなぞ
15	クイズ


詩・俳句・川柳・短歌	韻文。定型に縛られないものも含む。
5	俳句	韻文。五七五の十七音に季語を含めた定型詩。
6	川柳	韻文。俳句と同じく五七五だが季語がいらない定型詩。
7	短歌	韻文。五七五七七の三十一音で季語がいらない定型詩。
7	定型詩
8	自由詩

1	散文
2	韻文
3	お題
4	資料

10	散文
11	ライトノベル
12	ライト文芸
13	キャラ文芸
14	一般文芸
15	純文学
16	エッセイ・ノンフィクション
17	創作論・評論

20	韻文
21	俳句
22	川柳
23	短歌
24	詩
25	駄洒落

30	戯曲
31	会話
32	チャット
33	掲示板
34	戯曲
35	茶番劇

40	お題
43	一問一答
44	セリフ当て（漫画のコマに任意のセリフを入れる）
44	大喜利
45	なぞなぞ
46	クイズ
35	茶番ジェネレータ

40	資料
41	名言
42	言葉
43	創作術（小説を書くための文章技術。パラグラフ・ライティング、修辞法）
44	テック（小説を書くためのIT技術。タイピングなどの入力方法や学習方法、HTML,CSS,JSなどの言語、アップロード先のプロバイダ情報等）
44	ハウツー

50	ツール
51	名前ジェネレータ
52	キャラクタジェネレータ
53	次回予告ジェネレータ（5W1H）

